2.0 0.4 0.6243 0.4261
2.0 0.6 0.5633 0.3592
2.0 0.8 0.5249 0.3238
2.0 1.0 0.4994 0.3011
2.0 1.2 0.4817 0.2840
2.0 1.4 0.4652 0.2726
2.0 1.6 0.4571 0.2626
2.5 0.4 0.6621 0.4639
2.5 0.6 0.6048 0.4015
2.5 0.8 0.5642 0.3630
2.5 1.0 0.5357 0.3372
2.5 1.2 0.5171 0.3205
2.5 1.4 0.5069 0.3080
2.5 1.6 0.4940 0.2989
3.0 0.4 0.6915 0.5030
3.0 0.6 0.6299 0.4377
3.0 0.8 0.5961 0.3968
3.0 1.0 0.5689 0.3720
3.0 1.2 0.5512 0.3534
3.0 1.4 0.5346 0.3389
3.0 1.6 0.5245 0.3310
3.5 0.4 0.7167 0.5418
3.5 0.6 0.6585 0.4738
3.5 0.8 0.6298 0.4328
3.5 1.0 0.6028 0.4073
3.5 1.2 0.5848 0.3896
3.5 1.4 0.5714 0.3742
3.5 1.6 0.5576 0.3602
4.0 0.4 0.7387 0.5758
4.0 0.6 0.6842 0.5029
4.0 0.8 0.6552 0.4643
4.0 1.0 0.6294 0.4370
4.0 1.2 0.6099 0.4199
4.0 1.4 0.5951 0.4023
4.0 1.6 0.5880 0.3924
4.5 0.4 0.7595 0.6042
4.5 0.6 0.7125 0.5359
4.5 0.8 0.6784 0.4959
4.5 1.0 0.6541 0.4672
4.5 1.2 0.6387 0.4498
4.5 1.4 0.6199 0.4334
4.5 1.6 0.6109 0.4193
5.0 0.4 0.7699 0.6194
5.0 0.6 0.7339 0.5636
5.0 0.8 0.7024 0.5270
5.0 1.0 0.6765 0.4953
5.0 1.2 0.6582 0.4763
5.0 1.4 0.6446 0.4605
5.0 1.6 0.6360 0.4493
